577: 145,330,138,4,245,553,465,452,653,499
578: 616
579: 755
580: 784,982
581: 567,914,37
582: 
583: 518,830
584: 462,552,279,106,823,918
585: 608
586: 715
587: 4,194,833,266,553,145,499
588: 602
999: 658,605,1032,1024
590: 418,416,869,596
591: 826,684,530
1026: 607,950,997,61,374,73,621
593: 1040,572
594: 1025,732,610
595: 917,514,907
596: 954,839,819,590,416
597: 815
598: 808
599: 894
600: 804,2,905,984
601: 979,147,728,154,192,265,555,679
602: 926,588
1030: 750,1034,646
604: 923,751
605: 915,512,999,658
606: 879,868
607: 697,1026,73,30,621,236
608: 585
609: 645,172,858,96
610: 594,916,834,194
611: 626
612: 689,770,1008,448,185,968,463,130
613: 743
614: 
615: 619
616: 713,578
617: 767,568,398,234,80,274,149,470
618: 835
619: 615
620: 
621: 51,220,30,401,236,607,697,1026,196,73,23
622: 752
623: 980
624: 
625: 855,1036,248,448,423,324,770,944,154
626: 611
627: 523
628: 839,180,879,954,652
629: 514,920,647,963,928
630: 964
631: 
1025: 594,732,852
633: 970
1013: 834,194,245,517,465,537
635: 137,549,667,519,862,785
636: 905,551
637: 995,758
638: 803,996,672
639: 779
640: 795
641: 
642: 
643: 574,826,913
644: 
645: 609,348,24,356,772
646: 750,1034,1030
647: 953,6,963,629
648: 746
649: 929,989,706,809
650: 840,736
651: 
652: 891,954,628
653: 452,117,145,330,577,3,485
654: 754
655: 712,343,293,179,238,281
656: 900
657: 528
658: 999,605,915
659: 760
1036: 855,625,248,324,944,152,884,979,154
661: 
662: 740,884,147,728,154
663: 1020,820,670
664: 
1028: 
666: 
667: 405,137,549,635,70,199,115,288,519
668: 703,890
669: 
670: 663,1020
671: 347,496,180,361,708
672: 638,836,724
673: 
674: 685
675: 940,571
676: 1022,700
677: 737,873
678: 756
679: 102,457,16,601,192,445,151,265,555,376
680: 2,286,84,503,413,566
681: 848,502,518
682: 
683: 
684: 826,591,530,877,525
685: 674
686: 23,936,74,520,51,861,306
687: 483,772,348,443,488,211
688: 
689: 770,612,944,463,130,740,884
690: 811
691: 1020
692: 
693: 853,28,747,400
694: 
695: 956,480,976
696: 
697: 607,295,837,621,236,74
698: 923
1017: 861,815,842,849
700: 676
701: 796,524,991
1035: 827
703: 668
704: 810
705: 508
706: 842,849,649
707: 957,500,876
708: 454,6,361,671,180
709: 749,923
710: 947,526
711: 569
712: 655,293,238,281,898,46,87
713: 616
1024: 745,999
715: 586,886
716: 
717: 
718: 
719: 777
720: 
721: 563,573,843
722: 813,805,343
723: 
724: 883,793,672,535
725: 
726: 
727: 1027
728: 979,147,601,662,265,555
729: 799
730: 529,532,945
996: 379,312,95,803,638,370,43,793
732: 1025,594,852
733: 961
734: 501,773,844
735: 112,959,470,1029,381
736: 650
737: 677,755
738: 872,559
739: 931
740: 662,1039,884,130,689,1037
741: 869,747,853
742: 
743: 551,613
744: 560,938,921,966,253,442,845
745: 1024,817,986
746: 973,648
747: 362,418,869,741,853,693
748: 952
749: 709
750: 1034,1030,646
751: 955,604
752: 622
753: 277,805,425,259,109
754: 654
755: 737,579
756: 351,678
757: 
758: 637
1029: 959,735
760: 659
761: 550
762: 982
763: 946,824
1023: 388,226,172,257,67,267,95,370
1011: 1031,233,518,978
766: 
767: 568,617,274,115,149,112,470
768: 450,146,234,272,568,443,488
769: 934,208,812,222,329
770: 689,612,944,1008,448,185,968,463,130,625,884
771: 892
772: 483,687,348,24,645
773: 734,501,844,972
774: 1033
775: 513,791
776: 
777: 719
778: 351,176
779: 639,967
780: 863
1009: 
782: 
783: 859
784: 580,982
785: 137,635,862
786: 
787: 298,113,101,439,875,442,86,352,477,175
788: 893,827
789: 977,800
1008: 1021,185,507,968,463,770,612
791: 775,992
792: 
793: 471,43,996,535,724
794: 542,962
795: 640
796: 701,524
797: 
798: 
799: 729
800: 977,789
801: 901
802: 504
803: 566,638,286,379,996
804: 600,2
805: 179,277,753,722,343,126
806: 922,992,816
1021: 978,1008,901,968
808: 598
809: 29,240,929,989,649
810: 704
811: 690
812: 291,769,934
813: 722
814: 837,520
815: 1017,597,849
816: 992,546,806,1018
817: 986,745
818: 509,990
819: 924,393,839,596,418,416
820: 663
821: 
822: 835
823: 128,122,423,324,918,584,106,140
824: 998,763
825: 
826: 591,684,530,643
827: 1035,788,893
828: 
829: 
830: 951,583
831: 972,528
832: 
833: 37,841,916,587,266,553
834: 1013,610,4,194,245
835: 974,618,822
836: 672
837: 520,697,814,74
838: 887
839: 628,347,180,355,819,924,393,954,596,416
840: 650,293
841: 37,878,833,104,266,553,377,464
842: 706,861,1017,849
843: 721
844: 972,734,773
845: 442,966,744,938
846: 458,476,261,318,29
847: 561,971
848: 681,502
849: 1017,815,706,842
850: 911,400,988,405,549
851: 864,556
852: 506,1025,732
853: 693,869,747,741
854: 543,1010,558
855: 625,1036,248,152,979,147,154,192
856: 118,898,208,934
1012: 867
858: 388,172,356,609
859: 783
860: 
861: 1017,686,306,842
862: 137,549,635,785
863: 902,780
864: 851,119,512
865: 984
1032: 957,999,876
867: 550,1012
868: 606
869: 590,418,416,747,741,853
870: 
871: 509
872: 504,738
873: 677
874: 957
875: 442,139,86,171,113,787,477
876: 707,1032
877: 525,986,684
878: 37,253,841,560,938,104,377
879: 606,917,628
880: 
881: 
882: 983
883: 724
884: 740,662,689,770,944,1036,979,147,154
885: 932
886: 715
887: 838,1016
888: 977
889: 
890: 668
891: 954,652,480,949
892: 771,937
893: 788,827
894: 599
895: 
896: 
897: 
898: 118,46,87,208,856,712,129,368
899: 976,994
900: 656
901: 1021,801,968
902: 508,863
903: 934
904: 994
905: 551,636,600
906: 
907: 928,514,595
908: 571
909: 
910: 521,569,539
911: 400,850
998: 824
913: 643
914: 916,581
915: 605,512,658
916: 914,610,833,194
917: 595,514,879
918: 128,423,823,462,584,279,106
919: 557
920: 629
921: 253,560,744
922: 806,983
923: 709,698,604
924: 819,186,355,45,839,395,132,418,416,362
925: 536
926: 602,941
927: 
928: 629,514,907
929: 318,306,989,809,649
930: 
931: 739
932: 572,885
933: 
934: 769,903,856,812
935: 197,335,259
936: 686,23,74,51,220,261,318,306
937: 892
938: 560,62,744,878,442,845,377,439
939: 
940: 675
941: 926
1027: 727
1007: 78,219,487,193,315,243,495,389
944: 689,770,448,625,1036,884,154
945: 516,730
946: 763
947: 710,526
948: 264,67,267,431,256,413,312,95
949: 891
950: 56,295,472,997,1026
951: 830
952: 748
953: 1037,1039,647
954: 891,596,652,839,628
955: 751
956: 695,976
957: 707,874,1032
958: 335,966,533
959: 112,735,470,1029
960: 
961: 733
962: 542,538,794
963: 6,647,629,454
964: 630
965: 
966: 958,744,845
967: 779
968: 463,1016,901,1021,1008,770,612
1018: 816,516
970: 633
971: 847
