795: 946,678,611
796: 545
797: 774
798: 
799: 737,692,930
800: 644,755
801: 978,233
802: 
803: 43,836,535,267,95,379
804: 929,649,849
805: 313,243,126,238,277,813,281,179,353
806: 1014,1049,775
1021: 770,185,518,1031,507,106,918
808: 
809: 706,476,467,29,318,84,989,240
810: 500
811: 648,690
812: 712,898,208,903,934
813: 722,181,277,179,109,243,126,805
814: 351,320,710,947
815: 743
816: 1018
817: 658
818: 821
819: 590,839,596,652,416
820: 564
821: 818,664
822: 618,761
823: 462,106,584,1008,138,122
824: 611,889
825: 
826: 643,773,844,530
827: 
828: 604
829: 
830: 681,955
831: 
832: 626,597,703
833: 517,834,194,916,245
834: 517,833,194,916
835: 890
836: 43,803,535,267,95,172,370,724
837: 23,936,686,756
838: 
839: 595,596,347,628,953,891,180,393,819
988: 405,635,549,275,741,667,850,400
841: 8,266,914,587,464,145,499
842: 786
843: 721,563
844: 643,826,530
845: 748,37,253,732,878,553,560
1042: 894
847: 
848: 610,585,749,725,583
849: 804
850: 400,405,549,988,980
851: 894,42,386
852: 610,502,725,1011,1025,231
853: 742,869,693
854: 602
855: 490,434,152,363,979,192,1036,151
856: 281,179,736,293,908,353,87,1043
1012: 
858: 672,996,883,535,724
859: 
860: 738
861: 929,649,220,51,236,23,936,261,306
862: 614,1028
863: 780
864: 1029,512,772,119
865: 905
1032: 957,999,1053
867: 932
868: 899,180,595,596,590
869: 652,416,747,954,742,853
870: 882,922
871: 
872: 
873: 
874: 656,639,779
875: 442,113,139,171,298,439,86,787
876: 639
877: 941,962
878: 553,567,37,845,560,914
879: 792,514,920,910
880: 548
881: 
882: 870,922
883: 672,996,858,42
884: 248,625,423,152,979,154
885: 719
886: 
887: 928,1037,454
888: 783
889: 1017,824
890: 835
891: 361,628,953,6,606,180,839,595
892: 
893: 694
894: 851,1042
895: 538
896: 717,539
897: 531,987
898: 118,208,1043,87,812,712
899: 868,180,606,760
900: 
901: 463,612,968
902: 
903: 327,329,934,812,655,367,769
